"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 11 15:39:45 CDT 2022","Tue Oct 11 15:39:59 CDT 2022","13154","chromium","Admin\EntitySettings.spec.js","","","","@TC3 @admin @ipfsSmoke @smoke  @ipfsRegression  @allWebAppsRegression @regression entity setting page test case",""
"passed","Tue Oct 11 15:39:31 CDT 2022","Tue Oct 11 15:39:45 CDT 2022","14131","chromium","Admin\AssociatedUserTest.spec.js","","","","@TC1 @admin @ipfsSmoke @smoke  @ipfsRegression  @allWebAppsRegression @regression   Verify page contents",""
"failed","Tue Oct 11 15:39:59 CDT 2022","Tue Oct 11 15:40:02 CDT 2022","3255","chromium","HomeTest.spec.js","","",""," @TC5 @admin @ipfsSmoke @smoke  @ipfsRegression  @allWebAppsRegression @regression Verifying HomePage MainTabs Displayed",""
"passed","Tue Oct 11 15:39:31 CDT 2022","Tue Oct 11 15:39:46 CDT 2022","14439","chromium","Admin\AssociatedUserTest.spec.js","","","","@TC2 @admin @ipfsSmoke @smoke  @ipfsRegression  @allWebAppsRegression @regression Verify page contents",""
"passed","Tue Oct 11 15:39:56 CDT 2022","Tue Oct 11 15:40:00 CDT 2022","3409","chromium","AdminTest.spec.js","","","","@TC4 @admin @ipfsSmoke @smoke  @ipfsRegression  @allWebAppsRegression @regression Verifying HomePage MainTabs Displayed",""
"passed","Tue Oct 11 15:39:46 CDT 2022","Tue Oct 11 15:39:56 CDT 2022","10582","chromium","Admin\IntegrationTest.spec.js","","","","@TC1 @admin @ipfsSmoke @smoke  @ipfsRegression  @allWebAppsRegression @regression Verify page contents",""
"passed","Tue Oct 11 15:40:00 CDT 2022","Tue Oct 11 15:40:05 CDT 2022","5088","chromium","LoginTest.spec.js","","","","@TC5 @admin @ipfsSmoke @smoke  @ipfsRegression  @allWebAppsRegression @regression User logs in to Homepage",""
